,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
0,AVpfHrJ6ilAPnD_xVXOI,Josmo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,39.89,39.89,true,USD
1,AVpfHrJ6ilAPnD_xVXOI,Josmo,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,51.99,51.99,false,USD
2,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,40.02,40.02,false,USD
3,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,50.31,50.31,false,USD
4,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,46.26,46.26,false,USD
5,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,55.99,55.99,false,USD
6,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,41.12,41.12,false,USD
7,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,46.19,46.19,true,USD
8,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,21.40,21.40,true,USD
9,AVpfHsWP1cnluZ0-eVZ7,SERVUS BY HONEYWELL,"All Men's Shoes,Shoes,Men's Shoes,Clothing",,45.23,45.23,false,USD
10,AVpfAwehilAPnD_xS_eB,NATIVE,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",,45.00,45.00,false,USD
11,AVpfAwehilAPnD_xS_eB,NATIVE,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",,7.99,7.99,true,USD
12,AVpfAwehilAPnD_xS_eB,NATIVE,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",,9.99,9.99,true,USD
13,AVpfFCHeilAPnD_xUeS0,MAUI AND SONS,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Red,Black,Sketchy Slant,Yellow,BlackBlue,BlackRed,Sharky Tribe,Pro Ocean,BlackBlueYellow,Gray,Helms,BlackGreenYellow,Blue,Green,Black-White,Black Multi,GrayBlack",9.99,9.99,false,USD
14,AVpfFCHeilAPnD_xUeS0,MAUI AND SONS,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Red,Black,Sketchy Slant,Yellow,BlackBlue,BlackRed,Sharky Tribe,Pro Ocean,BlackBlueYellow,Gray,Helms,BlackGreenYellow,Blue,Green,Black-White,Black Multi,GrayBlack",19.99,19.99,true,USD
15,AVpfFCHeilAPnD_xUeS0,MAUI AND SONS,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Red,Black,Sketchy Slant,Yellow,BlackBlue,BlackRed,Sharky Tribe,Pro Ocean,BlackBlueYellow,Gray,Helms,BlackGreenYellow,Blue,Green,Black-White,Black Multi,GrayBlack",25.00,25.00,false,USD
16,AVpfFCHeilAPnD_xUeS0,MAUI AND SONS,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Red,Black,Sketchy Slant,Yellow,BlackBlue,BlackRed,Sharky Tribe,Pro Ocean,BlackBlueYellow,Gray,Helms,BlackGreenYellow,Blue,Green,Black-White,Black Multi,GrayBlack",15.99,15.99,true,USD
17,AVpfFCHeilAPnD_xUeS0,MAUI AND SONS,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Red,Black,Sketchy Slant,Yellow,BlackBlue,BlackRed,Sharky Tribe,Pro Ocean,BlackBlueYellow,Gray,Helms,BlackGreenYellow,Blue,Green,Black-White,Black Multi,GrayBlack",9.99,9.99,true,USD
18,AVpfHssKilAPnD_xVXu5,Hao-bo,"Clothing, Shoes, Accessories,Bags, Briefcases,Men's Accessories",Brown,37.99,37.99,false,AUD
19,AVpe8bocLJeJML43y4Kx,Twisted X,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,299.99,299.99,false,USD
20,AVpfFVg-1cnluZ0-di18,Lacoste,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Dark Grey,124.95,124.95,true,USD
21,AVpfFVg-1cnluZ0-di18,Lacoste,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Dark Grey,124.95,124.95,false,USD
22,AVpe8eQRilAPnD_xRdkQ,Rubies,"Men's Halloween Costumes,Adult Halloween Costumes,Clothing, Shoes & Accessories,Halloween,Men,Costumes, Reenactment, Theater,All Costumes,Costumes,Party & Occasions",,60.02,60.02,false,USD
23,AVpe8eQRilAPnD_xRdkQ,Rubies,"Men's Halloween Costumes,Adult Halloween Costumes,Clothing, Shoes & Accessories,Halloween,Men,Costumes, Reenactment, Theater,All Costumes,Costumes,Party & Occasions",,54.22,54.22,true,USD
24,AVpe8eQRilAPnD_xRdkQ,Rubies,"Men's Halloween Costumes,Adult Halloween Costumes,Clothing, Shoes & Accessories,Halloween,Men,Costumes, Reenactment, Theater,All Costumes,Costumes,Party & Occasions",,44.99,44.99,false,USD
25,AVpfFSDs1cnluZ0-dhoW,unbranded,"Clothing, Shoes & Accessories,Men's Clothing,Underwear","White,Yellow,Red,Purple,Black,Pink,Orange,Green,Brown,Blue,Grey",5.99,5.99,false,USD
26,AVpfB4DRLJeJML43007A,PUMA,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,86.98,86.98,true,USD
27,AVpfB4DRLJeJML43007A,PUMA,"Clothing,Shoes,Men's Shoes,All Men's Shoes",,149.00,149.00,false,USD
28,AVpfDweJilAPnD_xUBrV,Filament,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Beige,63.00,63.00,false,USD
29,AVpfDweJilAPnD_xUBrV,Filament,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Beige,13.99,13.99,true,USD
30,AVpfDweJilAPnD_xUBrV,Filament,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Beige,23.99,23.99,true,USD
31,AVpfDweJilAPnD_xUBrV,Filament,"All Men's Shoes,Shoes,Men's Shoes,Clothing",Beige,22.99,22.99,true,USD
32,AVpfB-8RLJeJML4303Xb,AMERICAN FIGHTER,"Clothing, Shoes & Accessories,Men's Clothing,Shorts,Sporting Goods,Boxing, Martial Arts & MMA",Black,48.00,48.00,false,USD
33,AVpfJEaqLJeJML433Rz6,TOMS,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",,45.90,45.90,true,USD
34,AVpfJEaqLJeJML433Rz6,TOMS,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",,54.00,54.00,false,USD
35,AVpfIBrDilAPnD_xVevt,Maui Jim,"Clothing, Shoes, Accessories,Men's Sunglasses",BLACK,279.00,279.00,false,AUD
36,AVpe7Bp0ilAPnD_xQ8Sh,VENUM,"Clothing, Shoes & Accessories,Men's Clothing,Shorts,Sporting Goods,Boxing, Martial Arts & MMA",Black,59.99,59.99,false,USD
37,AVpfJHn81cnluZ0-e0n7,Azzuro,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",,68.99,68.99,false,USD
38,AVpfJHn81cnluZ0-e0n7,Azzuro,"All Men's Clothing,Men's Clothing,Men's Outerwear,Clothing, Shoes & Jewelry,Clothing",,33.99,33.99,true,USD
39,AVpfEsCZ1cnluZ0-dUFR,adidas,"Sporting Goods,Team Sports,Basketball,Clothing, Shoes & Accessories,Shoes,Men",Black,14.99,14.99,false,USD
40,AVpfJJUsilAPnD_xV3O7,Vine Branch,"Clothing, Shoes & Accessories,Men's Accessories,Backpacks, Bags & Briefcases",,30.00,30.00,false,USD
41,AVpfAqU7LJeJML430ZHS,,"Athletic,Men,Shoes,Shoes & Handbags","Blue,Black",42.79,42.79,false,CAD
42,AVpfElTsLJeJML431wPt,Robert Wayne,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Beige,43.98,43.98,true,USD
43,AVpfElTsLJeJML431wPt,Robert Wayne,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Beige,110.00,110.00,false,USD
44,AVpfElTsLJeJML431wPt,Robert Wayne,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Beige,24.99,24.99,true,USD
45,AVpfElTsLJeJML431wPt,Robert Wayne,"Men's Casual Shoes,Shoes,Men's Shoes,Clothing",Beige,31.99,31.99,true,USD
46,AVpe854sLJeJML43zDcW,Roper,"Men's Boots,Shoes,Men's Shoes,Clothing",Tan Navy,84.09,84.09,false,USD
47,AVpfJEMqLJeJML433RvY,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,56.99,56.99,true,USD
48,AVpfJEMqLJeJML433RvY,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,51.99,51.99,true,USD
49,AVpfJEMqLJeJML433RvY,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,63.98,63.98,true,USD
50,AVpfJEMqLJeJML433RvY,PUMA,"All Men's Shoes,Shoes,Men's Shoes,Clothing",White,65.00,65.00,false,USD
51,AVpfAsCFLJeJML430ZuL,Sendra,"Men,Shoes,Oxfords & Derby Shoes,Wingtip",,420.00,420.00,false,USD
52,AVpfG1nE1cnluZ0-eDSf,Puentes Denver,"Clothing,Jewellery,Cufflinks & Shirt Accessories,Tie Clips,Clothing, Shoes & Jewelry,Men,Jewelry,Religious,Tie Pins & Clips,Ties & Cummerbunds,Accessories,Bags & Accessories",Multicolor,11.95,11.95,false,EUR
53,AVpfG1nE1cnluZ0-eDSf,Puentes Denver,"Clothing,Jewellery,Cufflinks & Shirt Accessories,Tie Clips,Clothing, Shoes & Jewelry,Men,Jewelry,Religious,Tie Pins & Clips,Ties & Cummerbunds,Accessories,Bags & Accessories",Multicolor,12.95,12.95,false,EUR
54,AVpfG1nE1cnluZ0-eDSf,Puentes Denver,"Clothing,Jewellery,Cufflinks & Shirt Accessories,Tie Clips,Clothing, Shoes & Jewelry,Men,Jewelry,Religious,Tie Pins & Clips,Ties & Cummerbunds,Accessories,Bags & Accessories",Multicolor,17.95,17.95,false,USD
55,AVpfI-6OLJeJML433P81,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Orange,72.90,72.90,false,USD
56,AVpfI-6OLJeJML433P81,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Orange,69.90,69.90,false,USD
57,AVpfI-6OLJeJML433P81,Nike,"Sporting Goods,Team Sports,Soccer,Clothing, Shoes & Accessories,Shoes & Cleats,Men",Orange,66.40,66.40,true,USD
58,AVpfC5OcLJeJML431K5_,Woolrich,"All Men's Shoes,Shoes,Men's Shoes,Clothing","Field Tan Canvas,Brush Brown Canvas",150.00,150.00,false,USD
59,AVpfA9JzilAPnD_xTD13,,"Shoes,Clothing, Shoes & Jewelry,Men,Shoes & Handbags",Tan NubuckTan Leather,160.00,160.00,false,CAD
60,AVpfA-RILJeJML430gFn,Nike,"Clothing, Shoes & Accessories,Men's Shoes,Athletic",WhiteGym RedHyper RedBlack,119.99,119.99,false,USD
61,AVpfI2251cnluZ0-evAs,SoftScience,"Clothing,Shoes,Men's Shoes,Men's Casual Shoes",Khaki,64.99,64.99,false,USD
62,AVpfJCIHilAPnD_xV02E,Nike,"Men's Running Shoes,Running Shoes,Running Gear,Fitness & Exercise Equipment,Men's Shoes,Athletic & Running Shoes",,100.00,100.00,false,USD
