,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency,gender
11,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,FALSE,USD,Women
12,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,23.99,23.99,TRUE,USD,Women
13,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,19.99,19.99,TRUE,USD,Women
14,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,TRUE,USD,Women
15,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,75.0,75.0,FALSE,USD,Women
16,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,29.99,29.99,TRUE,USD,Women
17,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,50.99,50.99,TRUE,USD,Women
18,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,64.95,64.95,FALSE,USD,Women
30,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,42.99,42.99,TRUE,USD,Women
31,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,110.0,110.0,FALSE,USD,Women
34,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,13.99,13.99,TRUE,USD,Women
35,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,8.99,8.99,TRUE,USD,Women
36,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,89.0,89.0,FALSE,USD,Women
43,AVpfDvKDilAPnD_xUBPs,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Red,70.0,70.0,FALSE,USD,Women
44,AVpfDvKDilAPnD_xUBPs,Easy Spirit,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Red,15.99,15.99,TRUE,USD,Women
62,AVpe6_gIilAPnD_xQ7fE,Allegra K,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes",Not Available,28.76,28.76,TRUE,USD,Women
63,AVpe6_gIilAPnD_xQ7fE,Allegra K,"Clothing,Shoes,Women's Shoes,Women's Dress Shoes",Not Available,57.99,57.99,FALSE,USD,Women
65,AVpfJFt8ilAPnD_xV2E4,Allegra K,"Women's Dress Shoes,Shoes,Women's Shoes,Clothing",Brown,34.79,34.79,TRUE,USD,Women
66,AVpfJFt8ilAPnD_xV2E4,Allegra K,"Women's Dress Shoes,Shoes,Women's Shoes,Clothing",Brown,69.99,69.99,FALSE,USD,Women
73,AVpfErj_1cnluZ0-dT5t,Easy Spirit,"Women's Sandals,Shoes,Women's Shoes,Clothing","BlkBlk,Black",39.39,39.39,FALSE,USD,Women
74,AVpe7D0jLJeJML43yYsZ,Unique Bargains,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,34.79,34.79,TRUE,USD,Women
75,AVpe7D0jLJeJML43yYsZ,Unique Bargains,"Clothing,Shoes,Women's Shoes,All Women's Shoes",Black,69.99,69.99,FALSE,USD,Women
94,AVpfEsduLJeJML431ywi,Nike,"Women's Athletic Shoes,Shoes,Clothing,Women's Shoes",Not Available,88.0,88.0,FALSE,USD,Women
97,AVpfI2BHLJeJML433M9Z,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,50.99,50.99,FALSE,USD,Women
98,AVpfI2BHLJeJML433M9Z,Allegra K,"Juniors Blazers, Jackets & Vests,All Juniors' Clothing,Women's Clothing,Clothing, Shoes & Jewelry,Clothing,Juniors Clothing,Women's Blazers, Jackets & Vests",Not Available,24.99,24.99,TRUE,USD,Women
126,AVpfCLnl1cnluZ0-cdTI,MUK LUKS,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Tan,55.44,55.44,FALSE,USD,Women
134,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,9.5,9.5,FALSE,USD,Women
135,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,15.5,15.5,FALSE,USD,Women
136,AVpe8h0DilAPnD_xRe3b,Nike,"Clothing, Shoes & Accessories,Athletic Apparel,Women's Clothing",Blue,31.95,31.95,FALSE,USD,Women
