,id,brand,categories,colors,prices.amountMin,prices.amountMax,prices.isSale,prices.currency
0,AVpfBXx21cnluZ0-cKxs,Zoot,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Multicolor",71.99,71.99,TRUE,USD
1,AVpfBXx21cnluZ0-cKxs,Zoot,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Multicolor",250,250,FALSE,USD
2,AVpfBXx21cnluZ0-cKxs,Zoot,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Multicolor",75.99,75.99,TRUE,USD
3,AVpfBXx21cnluZ0-cKxs,Zoot,"Shoes,Clothing,Women's Shoes,All Women's Shoes","Blue,Multicolor",79.98,79.98,TRUE,USD
4,AVpfEqFRLJeJML431x7w,Wild Pair,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,26.98,26.98,TRUE,USD
5,AVpfEqFRLJeJML431x7w,Wild Pair,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,15.99,15.99,TRUE,USD
6,AVpfEqFRLJeJML431x7w,Wild Pair,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Brown,90,90,FALSE,USD
7,AVpfFCfi1cnluZ0-dcCZ,Sutton Studio,"Women's Suits & Sets,Women's Clothing,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Pink,318,318,FALSE,USD
8,AVpfFCfi1cnluZ0-dcCZ,Sutton Studio,"Women's Suits & Sets,Women's Clothing,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",Pink,166.99,166.99,TRUE,USD
9,AVpfBZCAilAPnD_xTN_K,LaLeela.com,"Women's Clothing,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",,27.98,27.98,TRUE,USD
10,AVpfBZCAilAPnD_xTN_K,LaLeela.com,"Women's Clothing,All Women's Clothing,Clothing, Shoes & Jewelry,Clothing",,39.99,39.99,FALSE,USD
11,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,FALSE,USD
12,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,23.99,23.99,TRUE,USD
13,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,19.99,19.99,TRUE,USD
14,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,22.99,22.99,TRUE,USD
15,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,75,75,FALSE,USD
16,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,29.99,29.99,TRUE,USD
17,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,50.99,50.99,TRUE,USD
18,AVpfHscY1cnluZ0-eVb6,Reebok,"Shoes,Clothing,Women's Shoes,All Women's Shoes,Sneakers & Athletic Shoes",Pink Ribbon,64.95,64.95,FALSE,USD
19,AVpfEqlqilAPnD_xUWBW,Jessica Simpson,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Beige,69.98,69.98,FALSE,USD
20,AVpfAyj41cnluZ0-b9ct,The Highest Heel,"Clothing,Shoes,Women's Shoes,All Women's Shoes",,45.54,45.54,FALSE,USD
21,AVpfAyldLJeJML430cBd,Qupid,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Pink,23.98,23.98,TRUE,USD
22,AVpfAyldLJeJML430cBd,Qupid,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Pink,1.99,1.99,TRUE,USD
23,AVpfAyldLJeJML430cBd,Qupid,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Pink,45,45,FALSE,USD
24,AVpfAyldLJeJML430cBd,Qupid,"Shoes,Women's Shoes,Clothing,All Women's Shoes",Pink,11.99,11.99,TRUE,USD
25,AVpe8cGQ1cnluZ0-aZ7c,Alfani,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,18.99,18.99,TRUE,USD
26,AVpe8cGQ1cnluZ0-aZ7c,Alfani,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,79,79,FALSE,USD
27,AVpe8cGQ1cnluZ0-aZ7c,Alfani,"Shoes,Clothing,Women's Shoes,All Women's Shoes",,26.99,26.99,TRUE,USD
28,AVpfEpBdLJeJML431xlJ,Me Too,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,34.99,34.99,TRUE,USD
29,AVpfEpBdLJeJML431xlJ,Me Too,"Shoes,Women's Shoes,Clothing,All Women's Shoes",,79,79,FALSE,USD
30,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,42.99,42.99,TRUE,USD
31,AVpfAsxFLJeJML430Z-E,New Balance,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Blue,110,110,FALSE,USD
32,AVpfB5tZ1cnluZ0-cW6N,Under Armour,"Clothing, Shoes & Jewelry,Clothing,Women's Clothing,Women's Activewear,All Women's Clothing",,40.21,40.21,FALSE,USD
33,AVpfA3SLilAPnD_xTByb,Bruno Magli,"Clothing, Shoes & Accessories,Women's Shoes,Flats & Oxfords",Black,169.99,169.99,FALSE,USD
34,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,13.99,13.99,TRUE,USD
35,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,8.99,8.99,TRUE,USD
36,AVpfFTVk1cnluZ0-diFm,Nine West,"Shoes,Clothing,Women's Shoes,All Women's Shoes",Red,89,89,FALSE,USD
37,AVpfA3NWLJeJML430djV,Celebrity Pink Jeans,"Juniors Shorts & Capris,All Juniors' Clothing,Women's Clothing,Women's Shorts & Capris,Clothing, Shoes & Jewelry,Women's Shorts & Skorts,Clothing,Juniors Clothing",Rinse,39,39,FALSE,USD
38,AVpfA3NWLJeJML430djV,Celebrity Pink Jeans,"Juniors Shorts & Capris,All Juniors' Clothing,Women's Clothing,Women's Shorts & Capris,Clothing, Shoes & Jewelry,Women's Shorts & Skorts,Clothing,Juniors Clothing",Rinse,20.99,20.99,TRUE,USD
39,AVpfA3NWLJeJML430djV,Celebrity Pink Jeans,"Juniors Shorts & Capris,All Juniors' Clothing,Women's Clothing,Women's Shorts & Capris,Clothing, Shoes & Jewelry,Women's Shorts & Skorts,Clothing,Juniors Clothing",Rinse,15.98,15.98,TRUE,USD
40,AVpe8f_BilAPnD_xReOS,Cheer Bunny,"Clothing, Shoes & Jewelry,Women,Jewelry,Fashion,Bracelets,Bangle",,29.99,29.99,FALSE,USD
